iteration,norm
105,1112599364911674206239743792906240.000000000000000
106,2222824608172089014420063234555904.000000000000000
107,4440897372156882780018806439804928.000000000000000
108,8872283789152118467250406891192320.000000000000000
109,17725531005739694369083770919714816.000000000000000
110,35412959287154477536649959947894784.000000000000000
111,70749653462861463018070786799828992.000000000000000
112,141346656378038128110607290037436416.000000000000000
113,282387769031156973208776070913851392.000000000000000
114,564163961428703774280166947545939968.000000000000000
115,1127103783440811955459640915574915072.000000000000000
116,2251757300315273161423147733226618880.000000000000000
117,4498610061409885672425088048638722048.000000000000000
118,8987402971432213223013081941243068416.000000000000000
119,17955155373560398118113790450202574848.000000000000000
120,35870976835910320768096477852618194944.000000000000000
121,71663219828406994537968508412213854208.000000000000000
122,143168838982730058672291147413236744192.000000000000000
123,286022208764266818218791700068097327104.000000000000000
124,571412939686016713692034266511708258304.000000000000000
125,1141561837382314742104382545426242338816.000000000000000
126,2280593403410267530285087442547054215168.000000000000000
127,4556121859989366531887817954819198418944.000000000000000
128,9102104959627692600877327957726735630336.000000000000000
129,18183914548860806733926601640946427756544.000000000000000
130,36327202426003572370678638806815230394368.000000000000000
131,72573079185684558525027714852315501428736.000000000000000
132,144983361474790848589854818760201158524928.000000000000000
133,289640836199605077069579409178501819924480.000000000000000
134,578629309341613275677644302787104533905408.000000000000000
135,1155952706190929671637320155178222414200832.000000000000000
136,2309291200168678471116911179630834408751104.000000000000000
137,4613349172597466510383449351100773322194944.000000000000000
138,9216222225548365695383087375347809905541120.000000000000000
139,18411472768713445164452362724998251544576000.000000000000000
140,36780963057567822840535928719501399643127808.000000000000000
141,73477882468522688943244058601710082611740672.000000000000000
142,146787519358668841891247661854141204788150272.000000000000000
143,293238229171347999943161296434937462280683520.000000000000000
144,585802198841297453978815748621499554506735616.000000000000000
145,1170254590611659916316367261527097261128941568.000000000000000
146,2337806976469289677153398607140597347802677248.000000000000000
147,4670204333295058789428512659836100949135327232.000000000000000
148,9329578949281763320097577759367067271910391808.000000000000000
149,18637477392528805155018974391790531222140092416.000000000000000
150,37231551399616234761806641193573999252070203392.000000000000000
151,74376210820893860073837612347143818411606278144.000000000000000
152,148578466349356781607554627549943230429482975232.000000000000000
153,296808677601555749934663680546371797108098334720.000000000000000
154,592920152303891006836395291284575440395617435648.000000000000000
155,1184444506040402148348329774484849978873242189824.000000000000000
156,2366094614690883368636704855621051682764349243392.000000000000000
157,4726594804655004122397852938386816751398358614016.000000000000000
158,9441989441077618015496607391520400564442477101056.000000000000000
159,18861555790323754555825661263678377802734512373760.000000000000000
160,37678219650525197126276346101877655141630429102080.000000000000000
161,75266563476160547242479063898275688895355555938304.000000000000000
162,150353190429132438913098389266340485888600747016192.000000000000000
163,300346136175273345117116632737180051139044055187456.000000000000000
164,599971035928175767588290877989595056900845667876864.000000000000000
165,1198498097324500234727427175890282023357517620314112.000000000000000
166,2394105227044639366227951083250596557123929470140416.000000000000000
167,4782422451427388037094382575574561727909479799848960.000000000000000
168,9553256701796240378521885928825774857762777358925824.000000000000000
169,19083312488166382322736809768682887219383475357351936.000000000000000
170,38120173874791811820416240772574587374727663106129920.000000000000000
171,76147346516147260252510288407058863646839352602918912.000000000000000
172,152108491524986136737310109615330590233511132072509440.000000000000000
173,303844179991281988232580184993948328462322133287043072.000000000000000
174,606941949842735030229734006926748166282857525268185088.000000000000000
175,1212389463475725671834145363335340321050794046462623744.000000000000000
176,2421786806866677803895897638374580461869948767714672640.000000000000000
177,4837582846550431872784193790690652398131193816027234304.000000000000000
178,9663171041191398636210428108444153114260767123877920768.000000000000000
179,19302326416128111983935015384310290713123301638637879296.000000000000000
180,38556568519525282751255859075990070492367444588665765888.000000000000000
181,77016861941089942731659171295783749405978918250306600960.000000000000000
