iteration,norm
1,195.790554712702544
2,60.231018855600382
3,18.530433685464143
4,5.701112319082363
5,1.754037415169905
6,0.539661946183366
7,0.166038007512965
8,0.051085237639947
9,0.015717559146866
10,0.004835888452170
11,0.001487882755283
12,0.000457785717509
13,0.000140849958922
14,0.000043336322790
15,0.000013333622242
16,0.000004102465311
17,0.000001262241067
18,0.000000388365155
19,0.000000119491971
20,0.000000036765262
21,0.000000011311939
22,0.000000003480462
23,0.000000001070871
24,0.000000000329487
