iteration,norm
237,12133439673780568101513720758272.000000000000000
238,16176870927688818887227862941696.000000000000000
239,21567765845828013668679957872640.000000000000000
240,28755164306094129392770632122368.000000000000000
241,38337748215306558944220465332224.000000000000000
242,51113709638121682580430624129024.000000000000000
243,68147237484396440309120349765632.000000000000000
244,90857160900919572010666450485248.000000000000000
245,121135133107579850787447958929408.000000000000000
246,161503200059706578543563128176640.000000000000000
247,215323878973775010407420671295488.000000000000000
248,287080245694352729238438372442112.000000000000000
249,382749361446401037120640529727488.000000000000000
250,510300144466622020899079400194048.000000000000000
251,680357157978484323763867923513344.000000000000000
252,907085606433813086201827393798144.000000000000000
253,1209371258108173163046670482538496.000000000000000
254,1612393578874357778072550957383680.000000000000000
255,2149723115655638550464803171729408.000000000000000
256,2866117837004318376099465649979392.000000000000000
257,3821251360015333603533443393650688.000000000000000
258,5094683617150964593352685683474432.000000000000000
259,6792488009518025069439301552439296.000000000000000
260,9056087075513838824960816633085952.000000000000000
261,12074032669289862022808169577709568.000000000000000
262,16097711916252483293572307708018688.000000000000000
263,21462287223741905941258159037349888.000000000000000
264,28614614613720067079541370973585408.000000000000000
265,38150465928096766100611323117174784.000000000000000
266,50864155456552135549309306693222400.000000000000000
267,67814704807970233548677970718097408.000000000000000
268,90414057460363337296827498446716928.000000000000000
269,120544691134373523426406462673387520.000000000000000
270,160716424938411083606070708446167040.000000000000000
271,214275483112443776629714659309518848.000000000000000
272,285683230114300900937445682924486656.000000000000000
273,380887795341864493610515992982585344.000000000000000
274,507819543398367071344008228539203584.000000000000000
275,677051662024756851377037455029960704.000000000000000
276,902680893977427914136430406283558912.000000000000000
277,1203501776935501205546345071890137088.000000000000000
278,1604572204510142265261217882086309888.000000000000000
279,2139300718188690306040138264463015936.000000000000000
280,2852229399878153850030047853772013568.000000000000000
281,3802744177803600674100407904774389760.000000000000000
282,5070021611514928220505253728892223488.000000000000000
283,6759624219812856074094536671484706816.000000000000000
284,9012293738246206196959974986182819840.000000000000000
285,12015674779435739976540487683019898880.000000000000000
286,16019945470936188312029012408129290240.000000000000000
287,21358657095315828675336229385047900160.000000000000000
288,28476518665599301236924238664122236928.000000000000000
289,37966440880773632068413325367213817856.000000000000000
290,50618925210828530092126684151969480704.000000000000000
291,67487912208544654216802162724248223744.000000000000000
292,89978574197616161998787038699522621440.000000000000000
293,119964365452665714535978911455082708992.000000000000000
294,159943080136483716364412343761193926656.000000000000000
295,213244917608753258032945855513000673280.000000000000000
296,284309886940866241594332315110239895552.000000000000000
297,379057658438884112181467945147385774080.000000000000000
298,505380670832504507110651765941640101888.000000000000000
299,673801570017306219706977920229891375104.000000000000000
300,898349744107067036521817963374292500480.000000000000000
301,1197729970354059966012952143056408150016.000000000000000
302,1596880522532067794133272540808170438656.000000000000000
303,2129050529609684427572409005867236589568.000000000000000
304,2838569630432411461454042912524773359616.000000000000000
305,3784540637767138926412942810425430376448.000000000000000
306,5045762812287460896107228040916885307392.000000000000000
307,6727295857670488067073350168561917624320.000000000000000
308,8969211421164151828939996901719985356800.000000000000000
309,11958261104782299546591696393178624032768.000000000000000
310,15943432939874720312947634136145136189440.000000000000000
311,21256692190002481516945534082986658496512.000000000000000
312,28340634206072568055589987676190142365696.000000000000000
313,37785352837910120378709725138017190936576.000000000000000
314,50377595571084902864854308076922186235904.000000000000000
315,67166300054260064368236407757925668356096.000000000000000
316,89549971269214462202826478749964983861248.000000000000000
317,119393177944929526957538592040506821181440.000000000000000
318,159181872482988442165102184429464657592320.000000000000000
319,212230472705571299273607659077733594431488.000000000000000
320,282957955560035205165406296012051137429504.000000000000000
321,377255961696872968622481597684455810531328.000000000000000
322,502979574463376991513321459566840356274176.000000000000000
323,670601655799088992100933201755919515385856.000000000000000
324,894085246035621274024842582787920823844864.000000000000000
325,1192046699638719677052419068597774304935936.000000000000000
326,1589306447661574019812231198413631065686016.000000000000000
327,2118956567570826701488023643280258585591808.000000000000000
328,2825117391963495113306222115736532362985472.000000000000000
329,3766612785734267312547285193015436316246016.000000000000000
330,5021870247838216736796686532260862019764224.000000000000000
331,6695454023740721569332733753420971526586368.000000000000000
332,8926775447246903144666386031439263802851328.000000000000000
333,11901706097444831637237669289764902477496320.000000000000000
334,15868061166228692667331584308911780506107904.000000000000000
335,21156242827542571730476214943554768438558720.000000000000000
336,28206763237347832672849444768911583898238976.000000000000000
337,37606939879788886240543919249815338297065472.000000000000000
