method,size,iterations,time
Ja,939,20,0.522956
GS,939,14,0.380409
Ja,939,499,8.354174
GS,939,499,9.351703
LU,939,1,3.786947
Ja,100,20,0.006740
GS,100,14,0.005211
LU,100,1,0.004938
Ja,500,20,0.118489
GS,500,14,0.101729
LU,500,1,0.574474
Ja,1000,20,0.481579
GS,1000,14,0.369551
LU,1000,1,4.475225
Ja,2000,20,1.895864
GS,2000,14,1.485449
LU,2000,1,35.978949
Ja,3000,20,4.391185
GS,3000,14,3.586189
LU,3000,1,120.592120
