Ja,939,20,0.400241,
Ja,939,14,0.331655,
Ja,939,499,6.926195,
GS,939,499,9.060330,
Ja,100,20,0.005611,
GS,100,14,0.004533,
Ja,500,20,0.127249,
GS,500,14,0.086612,
Ja,1000,20,0.469614,
GS,1000,14,0.366523,
Ja,2000,20,1.758339,
GS,2000,14,1.354654,
Ja,3000,20,3.879389,
GS,3000,14,3.207722,
Ja,5000,20,12.334833,
GS,5000,14,10.652930,
